ksic_prefix,industry_category,activity_2023,birth_2023,death_2023,birth_rate_2023,death_rate_2023
01,"농업, 임업 및 어업",60229,8833,7814,14.7,13.0
02,"농업, 임업 및 어업",60229,8833,7814,14.7,13.0
03,"농업, 임업 및 어업",60229,8833,7814,14.7,13.0
05,광업,1366,131,161,9.6,11.8
06,광업,1366,131,161,9.6,11.8
07,광업,1366,131,161,9.6,11.8
08,광업,1366,131,161,9.6,11.8
10,제조업,565945,37124,38745,6.6,6.8
11,제조업,565945,37124,38745,6.6,6.8
12,제조업,565945,37124,38745,6.6,6.8
13,제조업,565945,37124,38745,6.6,6.8
14,제조업,565945,37124,38745,6.6,6.8
15,제조업,565945,37124,38745,6.6,6.8
16,제조업,565945,37124,38745,6.6,6.8
17,제조업,565945,37124,38745,6.6,6.8
18,제조업,565945,37124,38745,6.6,6.8
19,제조업,565945,37124,38745,6.6,6.8
20,제조업,565945,37124,38745,6.6,6.8
21,제조업,565945,37124,38745,6.6,6.8
22,제조업,565945,37124,38745,6.6,6.8
23,제조업,565945,37124,38745,6.6,6.8
24,제조업,565945,37124,38745,6.6,6.8
25,제조업,565945,37124,38745,6.6,6.8
26,제조업,565945,37124,38745,6.6,6.8
27,제조업,565945,37124,38745,6.6,6.8
28,제조업,565945,37124,38745,6.6,6.8
29,제조업,565945,37124,38745,6.6,6.8
30,제조업,565945,37124,38745,6.6,6.8
31,제조업,565945,37124,38745,6.6,6.8
32,제조업,565945,37124,38745,6.6,6.8
33,제조업,565945,37124,38745,6.6,6.8
34,제조업,565945,37124,38745,6.6,6.8
35,"전기, 가스, 증기 및 공기조절 공급업",124463,18716,3472,15.0,2.8
36,"수도, 하수 및 폐기물처리, 원료재생업",11632,736,602,6.3,5.2
37,"수도, 하수 및 폐기물처리, 원료재생업",11632,736,602,6.3,5.2
38,"수도, 하수 및 폐기물처리, 원료재생업",11632,736,602,6.3,5.2
39,"수도, 하수 및 폐기물처리, 원료재생업",11632,736,602,6.3,5.2
40,"전기, 가스, 증기 및 공기조절 공급업",124463,18716,3472,15.0,2.8
41,"수도, 하수 및 폐기물처리, 원료재생업",11632,736,602,6.3,5.2
42,건설업,520473,49491,39611,9.5,7.6
45,건설업,520473,49491,39611,9.5,7.6
46,도매 및 소매업,1617335,234276,209680,14.5,13.0
47,도매 및 소매업,1617335,234276,209680,14.5,13.0
49,운수 및 창고업,634277,60066,55834,9.5,8.8
50,도매 및 소매업,1617335,234276,209680,14.5,13.0
51,도매 및 소매업,1617335,234276,209680,14.5,13.0
52,도매 및 소매업,1617335,234276,209680,14.5,13.0
55,숙박 및 음식점업,918362,157901,135105,17.2,14.7
56,숙박 및 음식점업,918362,157901,135105,17.2,14.7
58,정보통신업,144789,25351,15879,17.5,11.0
59,정보통신업,144789,25351,15879,17.5,11.0
60,운수 및 창고업,634277,60066,55834,9.5,8.8
61,운수 및 창고업,634277,60066,55834,9.5,8.8
62,운수 및 창고업,634277,60066,55834,9.5,8.8
63,운수 및 창고업,634277,60066,55834,9.5,8.8
64,금융 및 보험업,29506,3509,2856,11.9,9.7
65,금융 및 보험업,29506,3509,2856,11.9,9.7
66,금융 및 보험업,29506,3509,2856,11.9,9.7
67,금융 및 보험업,29506,3509,2856,11.9,9.7
68,부동산업,1706422,185554,152299,10.9,8.9
70,부동산업,1706422,185554,152299,10.9,8.9
71,전문과학기술서비스업,258266,38372,24941,14.9,9.7
72,전문과학기술서비스업,258266,38372,24941,14.9,9.7
73,전문과학기술서비스업,258266,38372,24941,14.9,9.7
74,"사업시설관리, 사업지원 및 임대 서비스업",158751,25390,19378,16.0,12.2
75,"사업시설관리, 사업지원 및 임대 서비스업",158751,25390,19378,16.0,12.2
76,"사업시설관리, 사업지원 및 임대 서비스업",158751,25390,19378,16.0,12.2
80,교육서비스업,214571,36177,27770,16.9,12.9
84,"협회 및 단체, 수리 및 기타 개인서비스업",354874,47950,35520,13.5,10.0
85,교육서비스업,214571,36177,27770,16.9,12.9
86,보건업 및 사회복지 서비스업,82624,4497,2675,5.4,3.2
87,보건업 및 사회복지 서비스업,82624,4497,2675,5.4,3.2
90,"예술, 스포츠 및 여가관련 서비스업",134851,21867,18174,16.2,13.5
91,"예술, 스포츠 및 여가관련 서비스업",134851,21867,18174,16.2,13.5
92,"협회 및 단체, 수리 및 기타 개인서비스업",354874,47950,35520,13.5,10.0
93,"협회 및 단체, 수리 및 기타 개인서비스업",354874,47950,35520,13.5,10.0
94,"협회 및 단체, 수리 및 기타 개인서비스업",354874,47950,35520,13.5,10.0
95,"협회 및 단체, 수리 및 기타 개인서비스업",354874,47950,35520,13.5,10.0
96,"협회 및 단체, 수리 및 기타 개인서비스업",354874,47950,35520,13.5,10.0
