자료생성년월,사업장명,사업자등록번호,사업장가입상태코드 1 등록 2 탈퇴,우편번호,사업장지번상세주소,사업장도로명상세주소,고객법정동주소코드,고객행정동주소코드,법정동주소광역시도코드,법정동주소광역시시군구코드,법정동주소광역시시군구읍면동코드,사업장형태구분코드 1 법인 2 개인,사업장업종코드,사업장업종코드명,적용일자,재등록일자,탈퇴일자,가입자수,당월고지금액,신규취득자수,상실가입자수,매칭_임금체불_사업장명,매칭_단계
2026-02,신창기업(주),101810,1,03164,서울특별시 종로구 종로2가,,1111013800,1111061000,11,110,138,1,701201,비주거용 건물 임대업(점포  자기땅),1988-01-01,,,12,4917020,0,0,신창기업,2단계_이름일치_시도일치
2026-02,영신공업사,130107,1,15089,경기도 시흥시 정왕동,경기도 시흥시 공단1대로,4139013200,4139059200,41,390,132,2,292903,주형 및 금형 제조업,1988-01-01,,,54,22719680,0,0,주식회사영신공업사,5단계_이름일치_주소무관
2026-02,디자인솔루션(주),214864,1,06649,서울특별시 서초구 서초동,서울특별시 서초구 서초대로42길,1165010800,1165053000,11,650,108,1,452106,도배  실내 장식 및 내장 목공사업,2001-09-01,,,4,1321320,0,0,(주)위즈디자인솔루션엔코 덕수궁초밥,4단계_이름포함_시도일치
2026-02,대경건설주식회사,113815,1,36984,경상북도 문경시 모전동,경상북도 문경시 당교6길,4728011000,4728061000,47,280,110,1,452102,유리 및 창호 공사업,2002-11-01,,,3,420360,0,0,대경건설,2단계_이름일치_시도일치
2026-02,대경건설주식회사,610816,1,36365,경상북도 울진군 평해읍,경상북도 울진군 평해읍 용정길,4793025326,4793025300,47,930,253,1,452102,유리 및 창호 공사업,2003-07-01,,,3,586800,0,0,대경건설,2단계_이름일치_시도일치
2026-02,대광건설(주),508810,1,31465,충청남도 아산시 탕정면,충청남도 아산시 탕정면 매곡한들14길,4420033025,4420033000,44,200,330,1,452102,유리 및 창호 공사업,2003-07-01,,,7,2238160,1,1,대광건설,2단계_이름일치_시도일치
2026-02,성보건업(주),113812,1,07931,서울특별시 양천구 신월동,서울특별시 양천구 국회대로,1147010300,1147057000,11,470,103,1,452102,유리 및 창호 공사업,1992-08-11,,,6,1761840,0,0,성보건업(주),1단계_이름일치_시군구일치
2026-02,대광건설(주),402815,1,55507,전북특별자치도 무주군 무주읍,전북특별자치도 무주군 무주읍 단천로,5273025021,5273025000,52,730,250,1,452102,유리 및 창호 공사업,2004-02-02,,,6,1194720,0,1,대광건설,2단계_이름일치_시도일치
2026-02,에스에이치건설(주),302811,1,31568,충청남도 아산시 용화동,충청남도 아산시 시민로,4420011200,4420061000,44,200,112,1,452101,미장  타일 및 방수 공사업,2004-08-16,,,7,2385140,2,0,에스에이치(SH)건설,2단계_이름일치_시도일치
2026-02,(유)대광건설,404811,1,56045,전북특별자치도 순창군 순창읍,전북특별자치도 순창군 순창읍 순창2길,5277025022,5277025000,52,770,250,1,452102,유리 및 창호 공사업,2005-05-01,,,5,789140,0,0,대광건설,2단계_이름일치_시도일치
2026-02,(주)케이씨,120810,1,17599,경기도 안성시 미양면,경기도 안성시 미양면 제2공단3길,4155034022,4155034000,41,550,340,1,292901,산업용 로봇 제조업,1991-02-01,,,233,118153020,3,7,케이씨,2단계_이름일치_시도일치
2026-02,정원산업(주),311812,1,31704,충청남도 당진시 석문면,충청남도 당진시 석문면 석문새터길,4427032022,4427032000,44,270,320,1,452111,시설물 유지관리 공사업,2005-08-26,,,9,3466420,0,0,정원산업(주),2단계_이름일치_시도일치
2026-02,구로구청(구내식당 종사원),113830,1,08284,서울특별시 구로구 구로동,서울특별시 구로구 가마산로,1153010200,1153053000,11,530,102,1,701201,비주거용 건물 임대업(점포  자기땅),2006-01-01,,,7,1499400,0,0,e-어도참치구로구청점,3단계_이름포함_시군구일치
2026-02,제주시청(청소년수련관방과후아카데미),616830,1,63284,제주특별자치도 제주시 건입동,제주특별자치도 제주시 사라봉동길,5011010700,5011059000,50,110,107,1,999999,BIZ_NO미존재사업장,2006-02-09,,,3,915400,0,1,비비큐제주시청점,3단계_이름포함_시군구일치
2026-02,구로구청(의료급여관리요원),113830,1,08284,서울특별시 구로구 구로동,서울특별시 구로구 가마산로,1153010200,1153053000,11,530,102,1,701201,비주거용 건물 임대업(점포  자기땅),2006-05-01,,,3,1097700,0,0,e-어도참치구로구청점,3단계_이름포함_시군구일치
2026-02,가람전기 주식회사,134863,1,15440,경기도 안산시 단원구 초지동,경기도 안산시 단원구 광덕4로,4127310700,4127357000,41,273,107,1,742104,기타 엔지니어링 서비스업,2006-08-01,,,9,2439060,0,0,주식회사가람전기,2단계_이름일치_시도일치
2026-02,디티에스 주식회사,134863,1,15433,경기도 안산시 단원구 원시동,경기도 안산시 단원구 동산로27번길,4127310500,4127357000,41,273,105,1,292902,인쇄 및 제책용 기계 제조업,2006-08-11,,,5,302740,0,0,"주식회사디티에스DTSCo.,Ltd.",4단계_이름포함_시도일치
2026-02,청우건설(주),611811,1,05805,서울특별시 송파구 문정동,서울특별시 송파구 문정로1길,1171010800,1171064100,11,710,108,1,452101,미장  타일 및 방수 공사업,2006-10-10,,,10,4273100,1,0,청우건설,2단계_이름일치_시도일치
2026-02,제주시청(이도1동청소년문화의집청소년방과후아카데미),616830,1,63199,제주특별자치도 제주시 이도일동,제주특별자치도 제주시 서광로29길,5011010300,5011053000,50,110,103,1,999999,BIZ_NO미존재사업장,2007-02-05,,,4,983580,1,0,비비큐제주시청점,3단계_이름포함_시군구일치
2026-02,(주)아담스팜코리아,125811,1,17965,경기도 평택시 포승읍,경기도 평택시 포승읍 서동대로,4122025627,4122025600,41,220,256,1,154501,천연 및 혼합 조제 조미료 제조업,1994-12-14,,,10,2729640,0,0,팜코리아농업회사법인주식회사,4단계_이름포함_시도일치
2026-02,주식회사씨엔에스,131860,1,21678,인천광역시 남동구 고잔동,인천광역시 남동구 고잔로,2820011100,2820071000,28,200,111,1,900100,지정 외 폐기물 수집  운반업,2007-09-01,,,9,3556940,0,0,(주)대신씨엔에스,4단계_이름포함_시도일치
2026-02,태광테크,124433,1,18626,경기도 화성시 만세구 양감면,경기도 화성시 만세구 양감면 초록로,4159136022,4159136000,41,591,360,2,292903,주형 및 금형 제조업,2007-11-12,,,10,3914780,0,0,태광테크,2단계_이름일치_시도일치
2026-02,대광건설 주식회사,313810,1,33492,충청남도 보령시 내항동,충청남도 보령시 여상길,4418010700,4418056500,44,180,107,1,451200,기타 토목 시설물 건설업,1998-10-01,,,14,3990580,0,0,대광건설,2단계_이름일치_시도일치
