기준월,사업장명,사업자등록번호,가입상태코드,가입자수,신규취득자수,상실가입자수,당월고지금액,적용일자,재등록일자,탈퇴일자,사업장업종코드명,사업장업종코드,사업장형태구분코드,시도코드,매칭_임금체불_사업장명,매칭_단계,체불공개구분,체불액
2025-10,라인디자인,101086,2,0,0,0,0,2009-07-06,,2025-09-01,기타 목재 가구 제조업,361002,2,41,라인디자인,2단계_이름일치_시도일치,2023년 1차,"42,877,000"
2025-11,한솔어패럴,101122,2,0,0,1,0,2020-07-01,,2025-02-26,여자용 겉옷 제조업,181206,2,11,한솔어패럴,2단계_이름일치_시도일치,2023년 1차,"48,009,309"
2020-07,신창기업(주),101810,1,14,0,0,4029500,1988-01-01,,,비주거용 건물 임대업(점포 자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2020-08,신창기업(주),101810,1,14,0,0,4261680,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2020-09,신창기업(주),101810,1,14,0,0,4261680,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2020-10,신창기업(주),101810,1,14,0,0,4261680,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2020-11,신창기업(주),101810,1,14,0,1,4261680,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2020-12,신창기업(주),101810,1,13,0,0,3937860,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2021-01,신창기업(주),101810,1,13,0,0,3937860,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2021-02,신창기업(주),101810,1,14,1,0,4177880,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2021-03,신창기업(주),101810,1,14,0,0,4177880,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2021-04,신창기업(주),101810,1,14,0,0,4177880,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2021-05,신창기업(주),101810,1,14,0,1,4177880,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2021-06,신창기업(주),101810,1,13,0,0,3979080,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2021-07,신창기업(주),101810,1,13,0,0,3979080,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2021-08,신창기업(주),101810,1,13,0,1,4313220,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2021-09,신창기업(주),101810,1,12,0,0,3934860,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2021-10,신창기업(주),101810,1,12,0,0,3934860,1988-01-01,,,비주거용 건물 임대업(점포 자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2021-11,신창기업(주),101810,1,12,0,0,3934860,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2021-12,신창기업(주),101810,1,13,1,0,4159860,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2022-01,신창기업(주),101810,1,13,0,0,4159860,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2022-02,신창기업(주),101810,1,13,0,2,4159860,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2022-03,신창기업(주),101810,1,11,0,1,3710580,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2022-04,신창기업(주),101810,1,13,3,0,4139520,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2022-05,신창기업(주),101810,1,13,0,0,4139520,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2022-06,신창기업(주),101810,1,13,0,0,4139520,1988-01-01,,,비주거용 건물 임대업(점포   자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2022-07,신창기업(주),101810,1,13,0,1,4358940,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2022-08,신창기업(주),101810,1,12,0,0,4141500,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2022-09,신창기업(주),101810,1,11,1,0,3935460,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2022-10,신창기업(주),101810,1,11,0,0,3685660,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2022-12,신창기업(주),101810,1,12,1,0,3885180,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2023-01,신창기업(주),101810,1,12,0,0,3885180,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2023-02,신창기업(주),101810,1,12,0,1,3885180,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2023-03,신창기업(주),101810,1,11,0,0,3387480,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2023-04,신창기업(주),101810,1,11,0,0,3387480,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2023-05,신창기업(주),101810,1,11,0,1,3387480,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2023-06,신창기업(주),101810,1,10,0,0,3187960,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2023-07,신창기업(주),101810,1,10,0,0,3187960,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2023-08,신창기업(주),101810,1,10,0,0,3233180,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2023-09,신창기업(주),101810,1,10,0,0,3233180,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
2023-10,신창기업(주),101810,1,10,0,0,3233180,1988-01-01,,,비주거용 건물 임대업(점포  자기땅),701201,1,11,신창기업,2단계_이름일치_시도일치,2023년 1차,"53,533,976"
