기준월,사업장명,사업자등록번호,가입상태코드,가입자수,신규취득자수,상실가입자수,당월고지금액,적용일자,재등록일자,탈퇴일자,사업장업종코드명,사업장업종코드,사업장형태구분코드,시도코드,가상_공개차수,가상_t
2023-02,(주)다윈엠피알,101817,1,5,1,1,1583900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2023-03,(주)다윈엠피알,101817,1,4,0,0,1358900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2023-04,(주)다윈엠피알,101817,1,4,0,0,1358900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2023-05,(주)다윈엠피알,101817,1,5,1,0,1583900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2023-06,(주)다윈엠피알,101817,1,5,0,0,1583900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2023-07,(주)다윈엠피알,101817,1,5,0,0,1583900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2023-08,(주)다윈엠피알,101817,1,5,0,1,1665900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2023-09,(주)다윈엠피알,101817,1,4,0,0,1440900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2023-10,(주)다윈엠피알,101817,1,4,0,0,1440900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2023-11,(주)다윈엠피알,101817,1,4,0,0,1440900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2023-12,(주)다윈엠피알,101817,1,4,0,0,1440900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2024-01,(주)다윈엠피알,101817,1,4,0,0,1440900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2024-02,(주)다윈엠피알,101817,1,4,0,1,1440900,2002-03-01,,,광고 대행업,743002,1,11,2024년 1차,2024-08
2022-02,(주)이포르테,101818,1,12,0,0,3060120,2003-07-01,,,전시  컨벤션 및 행사 대행업,749907,1,11,2023년 1차,2023-08
2022-03,(주)이포르테,101818,1,12,0,0,3060120,2003-07-01,,,전시  컨벤션 및 행사 대행업,749907,1,11,2023년 1차,2023-08
2022-04,(주)이포르테,101818,1,12,0,1,3060120,2003-07-01,,,전시  컨벤션 및 행사 대행업,749907,1,11,2023년 1차,2023-08
2022-05,(주)이포르테,101818,1,12,1,1,3107820,2003-07-01,,,전시  컨벤션 및 행사 대행업,749907,1,11,2023년 1차,2023-08
2022-06,(주)이포르테,101818,1,11,0,0,2927820,2003-07-01,,,전시   컨벤션 및 행사 대행업,749907,1,11,2023년 1차,2023-08
2022-07,(주)이포르테,101818,1,11,0,1,3174420,2003-07-01,,,전시  컨벤션 및 행사 대행업,749907,1,11,2023년 1차,2023-08
2022-08,(주)이포르테,101818,1,11,1,0,3229500,2003-07-01,,,전시  컨벤션 및 행사 대행업,749907,1,11,2023년 1차,2023-08
2022-09,(주)이포르테,101818,1,15,1,2,4296160,2003-07-01,,,전시  컨벤션 및 행사 대행업,749907,1,11,2023년 1차,2023-08
2022-10,(주)이포르테,101818,1,11,0,1,3229500,2003-07-01,,,전시  컨벤션 및 행사 대행업,749907,1,11,2023년 1차,2023-08
2022-12,(주)이포르테,101818,1,11,1,1,3097480,2003-07-01,,,전시  컨벤션 및 행사 대행업,749907,1,11,2023년 1차,2023-08
2023-01,(주)이포르테,101818,1,12,2,0,3570240,2003-07-01,,,전시  컨벤션 및 행사 대행업,749907,1,11,2023년 1차,2023-08
2023-02,(주)이포르테,101818,1,12,0,0,3570240,2003-07-01,,,전시  컨벤션 및 행사 대행업,749907,1,11,2023년 1차,2023-08
2023-06,엘지상남도서관,101820,1,5,0,0,1868120,2009-01-01,,,BIZ_NO미존재사업장,999999,1,11,2024년 2차,2024-12
2023-07,엘지상남도서관,101820,1,5,0,0,1868120,2009-01-01,,,BIZ_NO미존재사업장,999999,1,11,2024년 2차,2024-12
2023-08,엘지상남도서관,101820,1,6,1,1,2195540,2009-01-01,,,BIZ_NO미존재사업장,999999,1,11,2024년 2차,2024-12
2023-09,엘지상남도서관,101820,1,5,0,0,2009160,2009-01-01,,,BIZ_NO미존재사업장,999999,1,11,2024년 2차,2024-12
2023-10,엘지상남도서관,101820,1,5,0,0,2009160,2009-01-01,,,BIZ_NO미존재사업장,999999,1,11,2024년 2차,2024-12
2023-11,엘지상남도서관,101820,1,5,0,0,2009160,2009-01-01,,,BIZ_NO미존재사업장,999999,1,11,2024년 2차,2024-12
2023-12,엘지상남도서관,101820,1,5,0,0,2009160,2009-01-01,,,BIZ_NO미존재사업장,999999,1,11,2024년 2차,2024-12
