business_id,source_business,label,gubun,t_disclose,shift,coverage,last_month,n_months_observed,turnover_avg_12m,turnover_avg_3m,turnover_max_12m,turnover_std_12m,emp_change_3m,emp_change_6m,emp_change_12m,salary_avg_12m,salary_last,salary_change_6m,salary_change_12m,replacement_avg_12m,replacement_avg_3m,replacement_min_12m,salary_drop_consecutive,turnover_momentum,zero_emp_months,emp_volatility,log_emp_count,firm_age_months,sido_code,industry_category,industry_death_rate_2023,imputed_months_count,imputed_ratio,has_missing_recent_3m
POS_신창기업_2023년 1차_shift-2,POS_신창기업_2023년 1차,1,2023년 1차,2023-08,-2,1.0,2022-12,12,0.0247,0.0,0.1538,0.0499,0.0909,-0.0769,-0.0769,3662093.0,3597389.0,0.0168,0.0118,1.3333,1.3333,0.3333,1,0.0,0,0.0758,2.5649,419,11,부동산업,8.9,1,0.083,1
POS_신창기업_2023년 1차_shift-1,POS_신창기업_2023년 1차,1,2023년 1차,2023-08,-1,1.0,2023-01,12,0.0247,0.0,0.1538,0.0499,0.0909,-0.0769,-0.0769,3665320.0,3597389.0,-0.0344,0.0118,1.2564,1.3333,0.3333,1,0.0,0,0.0739,2.5649,420,11,부동산업,8.9,1,0.083,1
POS_신창기업_2023년 1차_shift+0,POS_신창기업_2023년 1차,1,2023년 1차,2023-08,0,1.0,2023-02,12,0.0312,0.0278,0.1538,0.0518,0.0909,0.0,-0.0769,3668548.0,3597389.0,-0.0619,0.0118,1.2179,1.1667,0.3333,1,0.8635,0,0.0714,2.5649,421,11,부동산업,8.9,1,0.083,0
POS_신창기업_2023년 1차_shift+1,POS_신창기업_2023년 1차,1,2023년 1차,2023-08,1,1.0,2023-03,12,0.0193,0.0278,0.0909,0.0368,-0.0833,0.0,0.0,3658260.0,3421697.0,-0.1392,-0.0871,1.2692,0.8333,0.5,1,1.6551,0,0.0723,2.4849,422,11,부동산업,8.9,1,0.083,0
POS_신창기업_2023년 1차_shift+2,POS_신창기업_2023년 1차,1,2023년 1차,2023-08,2,1.0,2023-04,12,0.0123,0.0278,0.0833,0.0301,-0.0833,0.0,-0.1538,3633155.0,3421697.0,-0.0809,-0.0329,1.3077,0.8333,0.5,1,3.6111,0,0.0723,2.4849,423,11,부동산업,8.9,1,0.083,0
POS_성보건업(주)_2025년 1차_shift-2,POS_성보건업(주)_2025년 1차,1,2025년 1차,2025-08,-2,1.08,2024-12,13,0.0278,0.0417,0.125,0.0529,-0.125,-0.2222,-0.125,2779631.0,2701111.0,-0.002,-0.098,1.0385,0.8333,0.5,1,1.7647,0,0.0845,2.0794,388,11,건설업,7.6,0,0.0,0
POS_성보건업(주)_2025년 1차_shift-1,POS_성보건업(주)_2025년 1차,1,2025년 1차,2025-08,-1,1.08,2025-01,13,0.0278,0.0417,0.125,0.0529,-0.125,-0.125,-0.125,2757048.0,2701111.0,0.0742,-0.098,1.0385,0.8333,0.5,1,1.7647,0,0.094,2.0794,389,11,건설업,7.6,0,0.0,0
POS_성보건업(주)_2025년 1차_shift+0,POS_성보건업(주)_2025년 1차,1,2025년 1차,2025-08,0,1.08,2025-02,13,0.0278,0.0,0.125,0.0529,-0.125,0.0,-0.125,2734465.0,2701111.0,-0.091,-0.098,1.0385,1.0,0.5,1,0.0,0,0.1021,2.0794,390,11,건설업,7.6,0,0.0,0
POS_성보건업(주)_2025년 1차_shift+1,POS_성보건업(주)_2025년 1차,1,2025년 1차,2025-08,1,1.08,2025-03,13,0.0278,0.0,0.125,0.0529,0.0,-0.125,-0.2222,2711881.0,2701111.0,-0.0043,-0.002,1.0385,1.0,0.5,1,0.0,0,0.1088,2.0794,391,11,건설업,7.6,0,0.0,0
POS_성보건업(주)_2025년 1차_shift+2,POS_성보건업(주)_2025년 1차,1,2025년 1차,2025-08,2,1.08,2025-04,13,0.0388,0.0476,0.1429,0.0609,0.0,-0.125,-0.2222,2711475.0,2701111.0,-0.0043,-0.002,0.9231,0.8333,0.5,1,1.3187,0,0.1071,2.0794,392,11,건설업,7.6,0,0.0,0
POS_대경건설_2023년 1차_shift-2,POS_대경건설_2023년 1차,1,2023년 1차,2023-08,-2,1.0,2022-12,12,0.0786,0.028,0.3261,0.0896,0.2,0.0286,0.0909,2657014.0,2907827.0,0.1527,0.279,1.6144,1.0,0.4375,3,0.2991,0,0.1367,3.6109,241,47,건설업,7.6,1,0.083,1
POS_대경건설_2023년 1차_shift-1,POS_대경건설_2023년 1차,1,2023년 1차,2023-08,-1,1.0,2023-01,12,0.0822,0.0546,0.3261,0.0898,0.0571,-0.0263,-0.119,2696753.0,2790048.0,0.0146,0.0525,1.5426,0.8,0.4,3,0.6025,0,0.1315,3.6376,242,47,건설업,7.6,1,0.083,1
POS_대경건설_2023년 1차_shift+0,POS_대경건설_2023년 1차,1,2023년 1차,2023-08,0,1.0,2023-02,12,0.085,0.0823,0.3261,0.0892,0.0286,0.0286,-0.1628,2723003.0,2992111.0,0.0558,0.1417,1.3503,0.9667,0.4,2,0.9597,0,0.1282,3.6109,243,47,건설업,7.6,1,0.083,0
POS_대경건설_2023년 1차_shift+1,POS_대경건설_2023년 1차,1,2023년 1차,2023-08,1,1.0,2023-03,12,0.0765,0.0814,0.3261,0.0864,0.0556,0.2667,-0.1364,2750285.0,2975316.0,-0.06,0.2836,1.517,1.5222,0.4,1,1.0838,0,0.1204,3.6636,244,47,건설업,7.6,1,0.083,0
POS_대경건설_2023년 1차_shift+2,POS_대경건설_2023년 1차,1,2023년 1차,2023-08,2,1.0,2023-04,12,0.0758,0.0723,0.3261,0.0863,0.0,0.0571,-0.1957,2807032.0,3055730.0,0.0512,0.4758,1.417,1.5556,0.4,1,0.9422,0,0.1058,3.6376,245,47,건설업,7.6,1,0.083,0
POS_e-어도참치구로구청점_2024년 1차_shift-2,POS_e-어도참치구로구청점_2024년 1차,1,2024년 1차,2024-08,-2,1.08,2023-12,13,0.066,0.0245,0.2759,0.0848,0.0,-0.0123,-0.0805,1706497.0,1704758.0,0.0003,0.0254,2.1124,0.9722,0.04,1,0.3131,0,0.0794,4.3944,9,11,부동산업,8.9,0,0.0,0
POS_e-어도참치구로구청점_2024년 1차_shift-1,POS_e-어도참치구로구청점_2024년 1차,1,2024년 1차,2024-08,-1,1.08,2024-01,13,0.0704,0.1316,0.3333,0.0972,-0.0602,0.0,0.2381,1710952.0,1720422.0,0.0108,0.0157,2.1122,0.3179,0.037,1,2.5307,0,0.0752,4.3694,10,11,부동산업,8.9,0,0.0,0
POS_e-어도참치구로구청점_2024년 1차_shift+0,POS_e-어도참치구로구청점_2024년 1차,1,2024년 1차,2024-08,0,1.08,2024-02,13,0.0569,0.1295,0.3333,0.0886,-0.1951,-0.1081,-0.1538,1714990.0,1746350.0,0.0098,0.0008,2.4913,1.9012,0.037,1,3.6969,0,0.0668,4.2047,217,11,부동산업,8.9,0,0.0,0
POS_e-어도참치구로구청점_2024년 1차_shift+1,POS_e-어도참치구로구청점_2024년 1차,1,2024년 1차,2024-08,1,1.08,2024-03,13,0.0549,0.1212,0.3333,0.0896,-0.175,-0.175,-0.1646,1714647.0,1740545.0,0.0216,0.0181,1.9785,2.679,0.037,1,3.4654,0,0.0823,4.2047,218,11,부동산업,8.9,0,0.0,0
POS_e-어도참치구로구청점_2024년 1차_shift+2,POS_e-어도참치구로구청점_2024년 1차,1,2024년 1차,2024-08,2,1.08,2024-04,13,0.0549,0.0145,0.3333,0.0896,-0.0385,-0.0964,-0.1573,1712348.0,1679733.0,-0.0166,-0.0288,2.2093,4.3333,0.037,2,0.217,0,0.0834,4.3307,2,11,부동산업,8.9,0,0.0,0
POS_주식회사턴투_2023년 1차_shift-2,POS_주식회사턴투_2023년 1차,1,2023년 1차,2023-08,-2,0.92,2022-12,11,0.0,0.0,0.0,0.0,-0.1667,-0.1667,-0.1667,1978955.0,2010756.0,0.031,0.031,1.0,1.0,1.0,1,0.0,0,0.076,1.7918,140,47,제조업,6.8,2,0.167,1
POS_주식회사턴투_2023년 1차_shift-1,POS_주식회사턴투_2023년 1차,1,2023년 1차,2023-08,-1,0.92,2023-01,11,0.0,0.0,0.0,0.0,0.0,-0.1667,-0.1667,1983609.0,2010756.0,-0.0017,0.031,1.0,1.0,1.0,1,0.0,0,0.0844,1.7918,141,47,제조업,6.8,2,0.167,1
POS_주식회사턴투_2023년 1차_shift+0,POS_주식회사턴투_2023년 1차,1,2023년 1차,2023-08,0,0.92,2023-02,11,0.0,0.0,0.0,0.0,0.0,-0.1667,-0.1667,1988262.0,2010756.0,-0.0017,0.031,1.0,1.0,1.0,1,0.0,0,0.0902,1.7918,142,47,제조업,6.8,2,0.167,0
POS_주식회사턴투_2023년 1차_shift+1,POS_주식회사턴투_2023년 1차,1,2023년 1차,2023-08,1,0.92,2023-03,11,0.0,0.0,0.0,0.0,0.0,-0.1667,-0.1667,1992916.0,2010756.0,-0.0017,0.031,1.0,1.0,1.0,1,0.0,0,0.0937,1.7918,143,47,제조업,6.8,2,0.167,0
POS_주식회사턴투_2023년 1차_shift+2,POS_주식회사턴투_2023년 1차,1,2023년 1차,2023-08,2,0.92,2023-04,11,0.0,0.0,0.0,0.0,0.0,0.0,-0.1667,1997569.0,2010756.0,0.0,0.031,1.0,1.0,1.0,1,0.0,0,0.095,1.7918,144,47,제조업,6.8,2,0.167,0
POS_남강엘리베이터(주)_2023년 1차_shift-2,POS_남강엘리베이터(주)_2023년 1차,1,2023년 1차,2023-08,-2,0.92,2022-12,11,0.0738,0.0,0.4,0.1185,0.0,0.0,-0.375,2618857.0,2747556.0,0.0204,0.1712,1.0256,1.6667,0.3333,1,0.0,0,0.2363,1.7918,419,11,"사업시설관리, 사업지원 및 임대 서비스업",12.2,2,0.167,1
POS_남강엘리베이터(주)_2023년 1차_shift-1,POS_남강엘리베이터(주)_2023년 1차,1,2023년 1차,2023-08,-1,0.92,2023-01,11,0.0642,0.0,0.4,0.1191,0.5,0.2,-0.1429,2639070.0,2608630.0,-0.0584,0.0891,1.1026,1.6667,0.3333,2,0.0,0,0.2124,1.9459,420,11,"사업시설관리, 사업지원 및 임대 서비스업",12.2,2,0.167,1
POS_남강엘리베이터(주)_2023년 1차_shift+0,POS_남강엘리베이터(주)_2023년 1차,1,2023년 1차,2023-08,0,0.92,2023-02,11,0.077,0.0556,0.4,0.1206,0.5,0.2,-0.25,2655483.0,2608630.0,-0.0584,0.1171,1.0641,1.5,0.3333,2,0.6657,0,0.2034,1.9459,421,11,"사업시설관리, 사업지원 및 임대 서비스업",12.2,2,0.167,0
POS_남강엘리베이터(주)_2023년 1차_shift+1,POS_남강엘리베이터(주)_2023년 1차,1,2023년 1차,2023-08,1,0.92,2023-03,11,0.0674,0.0556,0.4,0.1214,0.0,0.0,-0.2857,2687209.0,2747556.0,-0.0083,0.153,1.0641,1.1667,0.3333,2,0.783,0,0.1611,1.7918,422,11,"사업시설관리, 사업지원 및 임대 서비스업",12.2,2,0.167,0
POS_남강엘리베이터(주)_2023년 1차_shift+2,POS_남강엘리베이터(주)_2023년 1차,1,2023년 1차,2023-08,2,0.92,2023-04,11,0.0564,0.0556,0.4,0.1205,-0.1667,0.25,-0.1667,2715253.0,2747556.0,-0.0705,0.1164,1.1026,0.8333,0.3333,2,0.9804,0,0.1336,1.7918,423,11,"사업시설관리, 사업지원 및 임대 서비스업",12.2,2,0.167,0
POS_(주)투윈테크_2023년 1차_shift-2,POS_(주)투윈테크_2023년 1차,1,2023년 1차,2023-08,-2,1.0,2022-12,12,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,2237605.0,2038722.0,-0.1592,-0.1592,1.0,1.0,1.0,1,0.0,0,0.0707,1.6094,138,41,전문과학기술서비스업,9.7,1,0.083,1
POS_(주)투윈테크_2023년 1차_shift-1,POS_(주)투윈테크_2023년 1차,1,2023년 1차,2023-08,-1,1.0,2023-01,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2207917.0,2038722.0,0.0,-0.1592,1.0,1.0,1.0,1,0.0,0,0.0707,1.6094,139,41,전문과학기술서비스업,9.7,1,0.083,1
POS_(주)투윈테크_2023년 1차_shift+0,POS_(주)투윈테크_2023년 1차,1,2023년 1차,2023-08,0,1.0,2023-02,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2178229.0,2038722.0,0.0,-0.1592,1.0,1.0,1.0,1,0.0,0,0.0707,1.6094,140,41,전문과학기술서비스업,9.7,1,0.083,0
POS_(주)투윈테크_2023년 1차_shift+1,POS_(주)투윈테크_2023년 1차,1,2023년 1차,2023-08,1,1.0,2023-03,12,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,2148541.0,2038722.0,0.0604,-0.1592,1.0,1.0,1.0,1,0.0,0,0.0707,1.6094,141,41,전문과학기술서비스업,9.7,1,0.083,0
POS_(주)투윈테크_2023년 1차_shift+2,POS_(주)투윈테크_2023년 1차,1,2023년 1차,2023-08,2,1.0,2023-04,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2118853.0,2038722.0,0.0,-0.1592,1.0,1.0,1.0,1,0.0,0,0.0707,1.6094,142,41,전문과학기술서비스업,9.7,1,0.083,0
POS_가야종합건설주식회사_2025년 1차_shift-2,POS_가야종합건설주식회사_2025년 1차,1,2025년 1차,2025-08,-2,1.08,2024-12,13,0.0192,0.0,0.25,0.0693,0.0,-0.25,-0.25,1886218.0,1915556.0,0.0205,0.0205,0.9615,1.0,0.5,1,0.0,0,0.1466,1.3863,125,11,BIZ_NO_MISSING,0.0,0,0.0,0
POS_가야종합건설주식회사_2025년 1차_shift-1,POS_가야종합건설주식회사_2025년 1차,1,2025년 1차,2025-08,-1,1.08,2025-01,13,0.0192,0.0,0.25,0.0693,0.0,0.0,-0.25,1889171.0,1915556.0,0.0625,0.0205,0.9615,1.0,0.5,1,0.0,0,0.1499,1.3863,126,11,BIZ_NO_MISSING,0.0,0,0.0,0
POS_가야종합건설주식회사_2025년 1차_shift+0,POS_가야종합건설주식회사_2025년 1차,1,2025년 1차,2025-08,0,1.08,2025-02,13,0.0192,0.0,0.25,0.0693,0.0,0.0,-0.25,1892124.0,1915556.0,0.0,0.0205,0.9615,1.0,0.5,1,0.0,0,0.1496,1.3863,127,11,BIZ_NO_MISSING,0.0,0,0.0,0
