"산업별(1)",2023,2023,2023,2023,2023,2024,2024,2024
"산업별(1)",활동,신생,소멸,신생률,소멸률,활동,신생,신생률
"전체",7538736,955941,790516,12.7,10.5,7641751,922413,12.1
"농업, 임업 및 어업",60229,8833,7814,14.7,13.0,63367,10833,17.1
"광업",1366,131,161,9.6,11.8,1359,165,12.1
"제조업",565945,37124,38745,6.6,6.8,560551,34362,6.1
"전기, 가스, 증기 및 공기조절 공급업",124463,18716,3472,15.0,2.8,141215,19155,13.6
"수도, 하수 및 폐기물처리, 원료재생업",11632,736,602,6.3,5.2,11901,862,7.2
"건설업",520473,49491,39611,9.5,7.6,526344,47376,9.0
"도매 및 소매업",1617335,234276,209680,14.5,13.0,1631734,230146,14.1
"운수 및 창고업",634277,60066,55834,9.5,8.8,633169,56335,8.9
"숙박 및 음식점업",918362,157901,135105,17.2,14.7,916804,143842,15.7
"정보통신업",144789,25351,15879,17.5,11.0,156357,27292,17.5
"금융 및 보험업",29506,3509,2856,11.9,9.7,29893,3884,13.0
"부동산업",1706422,185554,152299,10.9,8.9,1718845,169264,9.8
"전문과학기술서비스업",258266,38372,24941,14.9,9.7,272196,38862,14.3
"사업시설관리, 사업지원 및 임대 서비스업",158751,25390,19378,16.0,12.2,164293,25150,15.3
"교육서비스업",214571,36177,27770,16.9,12.9,224177,38454,17.2
"보건업 및 사회복지 서비스업",82624,4497,2675,5.4,3.2,84916,5371,6.3
"예술, 스포츠 및 여가관련 서비스업",134851,21867,18174,16.2,13.5,136762,21745,15.9
"협회 및 단체, 수리 및 기타 개인서비스업",354874,47950,35520,13.5,10.0,367868,49315,13.4
