roc_auc,pr_auc,precision@10,precision@50,precision@100,model,rep,fold,n_train,n_val,n_pos_val,experiment
0.6595238095238095,0.7117309061182794,0.8,0.62,0.58,logreg,0,0,540,136,70,logreg_full
0.6464003511852503,0.6035889061688215,0.7,0.64,0.57,logreg,0,1,541,135,67,logreg_full
0.5761633011413522,0.6476304713204237,0.8,0.54,0.51,logreg,0,2,541,135,67,logreg_full
0.6031606672519756,0.6461029563043265,0.8,0.6,0.51,logreg,0,3,541,135,67,logreg_full
0.48090430201931517,0.5606720137161948,0.8,0.5,0.46,logreg,0,4,541,135,67,logreg_full
0.6595238095238095,0.7117309061182794,0.8,0.62,0.58,logreg,1,0,540,136,70,logreg_full
0.6464003511852503,0.6035889061688215,0.7,0.64,0.57,logreg,1,1,541,135,67,logreg_full
0.5761633011413522,0.6476304713204237,0.8,0.54,0.51,logreg,1,2,541,135,67,logreg_full
0.6031606672519756,0.6461029563043265,0.8,0.6,0.51,logreg,1,3,541,135,67,logreg_full
0.48090430201931517,0.5606720137161948,0.8,0.5,0.46,logreg,1,4,541,135,67,logreg_full
0.6595238095238095,0.7117309061182794,0.8,0.62,0.58,logreg,2,0,540,136,70,logreg_full
0.6464003511852503,0.6035889061688215,0.7,0.64,0.57,logreg,2,1,541,135,67,logreg_full
0.5761633011413522,0.6476304713204237,0.8,0.54,0.51,logreg,2,2,541,135,67,logreg_full
0.6031606672519756,0.6461029563043265,0.8,0.6,0.51,logreg,2,3,541,135,67,logreg_full
0.48090430201931517,0.5606720137161948,0.8,0.5,0.46,logreg,2,4,541,135,67,logreg_full
0.6595238095238095,0.7117309061182794,0.8,0.62,0.58,logreg,3,0,540,136,70,logreg_full
0.6464003511852503,0.6035889061688215,0.7,0.64,0.57,logreg,3,1,541,135,67,logreg_full
0.5761633011413522,0.6476304713204237,0.8,0.54,0.51,logreg,3,2,541,135,67,logreg_full
0.6031606672519756,0.6461029563043265,0.8,0.6,0.51,logreg,3,3,541,135,67,logreg_full
0.48090430201931517,0.5606720137161948,0.8,0.5,0.46,logreg,3,4,541,135,67,logreg_full
0.6595238095238095,0.7117309061182794,0.8,0.62,0.58,logreg,4,0,540,136,70,logreg_full
0.6464003511852503,0.6035889061688215,0.7,0.64,0.57,logreg,4,1,541,135,67,logreg_full
0.5761633011413522,0.6476304713204237,0.8,0.54,0.51,logreg,4,2,541,135,67,logreg_full
