feature,importance_gain,rank
firm_age_months,740.6716017238796,1
salary_avg_12m,434.3877288880176,2
emp_volatility,395.68792693316936,3
turnover_max_12m,388.96680891513824,4
salary_change_12m,380.5994283715263,5
turnover_avg_12m,307.03159660100937,6
has_missing_recent_3m,305.5811790782027,7
salary_change_6m,298.54194161319174,8
emp_change_12m,266.52717360761017,9
salary_last,261.0759456194937,10
turnover_std_12m,248.0998001396656,11
sido_code,242.88926896452904,12
replacement_min_12m,237.0919205248356,13
industry_death_rate_2023,222.71971644088626,14
replacement_avg_12m,208.049715151079,15
industry_category,120.93484127521515,16
log_emp_count,99.84840864501894,17
turnover_momentum,95.15446099638939,18
emp_change_6m,78.86595391109586,19
turnover_avg_3m,65.93079716712236,20
imputed_months_count,64.05000652372837,21
emp_change_3m,52.42673683166504,22
replacement_avg_3m,52.35707676410675,23
salary_drop_consecutive,45.13650942593813,24
imputed_ratio,18.442883789539337,25
zero_emp_months,14.558139026165009,26
