feature,mean_abs_shap,rank
sido_code,0.4185014863268546,1
firm_age_months,0.36100386323691597,2
has_missing_recent_3m,0.3231855714171256,3
replacement_min_12m,0.2747246275436305,4
industry_category,0.23316145654304526,5
emp_volatility,0.2037887964365207,6
turnover_max_12m,0.19179457698079821,7
emp_change_12m,0.1782360199842946,8
salary_avg_12m,0.17686239949765425,9
salary_change_12m,0.1627539640233193,10
salary_change_6m,0.15746771762868642,11
salary_last,0.1477093515735656,12
turnover_avg_12m,0.1438450114046257,13
industry_death_rate_2023,0.1244966349419809,14
turnover_momentum,0.10912439115316966,15
replacement_avg_12m,0.10798212795322765,16
turnover_std_12m,0.0796123693150189,17
turnover_avg_3m,0.07940884545368071,18
log_emp_count,0.07349853822160653,19
emp_change_6m,0.05186173689681765,20
emp_change_3m,0.038871386339292886,21
imputed_months_count,0.0340498030243413,22
replacement_avg_3m,0.03380300843870869,23
salary_drop_consecutive,0.01772040066357105,24
imputed_ratio,0.013951653120579163,25
zero_emp_months,0.009760338297684846,26
